渠道,类型,总数,送达,其他,未知,DELIVRD,601,MK:0004,IA:0051,MK:0012,DB:Blac,HX:9403,MK:0001,MN:0029,MK:0029,REJECTD,1,MY:0001,8,MK:0005,MK:0000,MI:0013,MK:0011,UNDELIV,MI:0029,-74,13,DB:Black,MN:0001,MC:0151,MI:0010,MI:0000,MN:0013,5,10,12,4,24,MI:0024,MI:0084,FAIL_SIGN,182,702,MI:0005,219,17,MN:0054,29,EXPIRED,3,MK:0010,MC:0055,ID:0076,MK:0013,KEYWORD,705,801
huaxin,审批短信,715,710,5,0,710,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emay_V,验证码,4074,3968,84,22,3968,4,1,2,16,,,6,2,,,12,,,5,2,1,1,,,5,4,,2,,,,2,4,,3,1,3,,,,,1,,,,,,,,,,,3,2,1,1
huaxin,超即花,1197,1142,53,2,1142,,,,,14,36,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huaxin,还款提醒,2970,2749,173,48,2749,,,,23,14,41,18,,,,8,5,2,12,10,2,,16,2,,,2,,,,,2,,1,,2,4,,,,2,,2,1,,2,2,,,,,,,,,
lesou,还款提醒,68,0,0,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huaxin,反欺诈提醒,1213,777,29,407,777,,,,,16,8,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huaxin,还款方式,61,47,12,2,47,,,,,2,4,,,,,2,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huaxin,催收提醒,3798,3302,353,143,3302,,2,,24,56,68,6,,,,8,,,50,18,,,38,4,,6,4,6,2,2,2,8,9,1,,,4,2,6,,7,,,,2,,,6,2,6,2,2,,,,
josen,催收提醒,73,0,0,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josen,还款方式,20,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lesou,还款方式,4,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lesou,验证码,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josen,还款提醒,15,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emay,催收提醒,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,
